"Site number"	"Site name"	"Transect number"	"Transect point number"	"Measurement taken in thalweg"	"Depth (m)"	"Bed substrate"	"Embeddedness (percent)"	"Silt present"	"Woody debris present"	"Overhanging vegetation present"	"Undercut banks"	"Boulders"	"Aquatic macrophytes"	"Manmade structure"	"Too turbid to determine if cover features exist"	"No habitat features"	"Habitat features not classified"
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	11	5	FALSE	0	-	-	No Observation	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
05527800	"Des Plaines River at Russell, IL"	1	1	FALSE	0	-	-	No Observation	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
05527800	"Des Plaines River at Russell, IL"	1	2	FALSE	0.7	2	20	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
05527800	"Des Plaines River at Russell, IL"	1	3	TRUE	0.8	4	40	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527800	"Des Plaines River at Russell, IL"	1	4	FALSE	0.65	5	50	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527800	"Des Plaines River at Russell, IL"	1	5	FALSE	0	-	-	No Observation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
05527800	"Des Plaines River at Russell, IL"	2	1	FALSE	0	-	-	No Observation	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
05527800	"Des Plaines River at Russell, IL"	2	2	FALSE	0.82	2	0	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
05527800	"Des Plaines River at Russell, IL"	2	3	TRUE	0.9	4	40	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527800	"Des Plaines River at Russell, IL"	2	4	FALSE	0.7	4	60	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
05527800	"Des Plaines River at Russell, IL"	2	5	FALSE	0	-	-	No Observation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
05527800	"Des Plaines River at Russell, IL"	3	1	FALSE	0	-	-	No Observation	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
05527800	"Des Plaines River at Russell, IL"	3	2	FALSE	0.75	2	0	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
05527800	"Des Plaines River at Russell, IL"	3	3	TRUE	0.95	3	10	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527800	"Des Plaines River at Russell, IL"	3	4	FALSE	0.75	2	10	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
05527800	"Des Plaines River at Russell, IL"	3	5	FALSE	0	-	-	No Observation	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
